CHEM_ID,CHEMICAL_NAME,SUPER_PATHWAY,SUB_PATHWAY,Est_Itest,SE_Itest,P_Itest,Est_Mtest,SE_Mtest,P_Mtest,Est_IMtest,SE_IMtest,P_IMtest,Est_I,SE_I,P_I,Est_M,SE_M,P_M,Est_IM,SE_IM,P_IM
100020416,delta-CEHC,Cofactors and Vitamins,Tocopherol Metabolism,-0.353730583,0.053245147,3.77E-11,0.141829581,0.058498408,0.015401719,0.495560164,0.068875347,8.28E-13,-0.330388365,0.03472677,2.64E-21,0.2526613,0.040695498,5.72E-10,0.583049665,0.047041634,7.87E-35
100020515,2-naphthol sulfate,Xenobiotics,Chemical,0.50026863,0.052542118,3.97E-21,0.863369174,0.057726017,1.88E-48,0.363100543,0.067965943,1.00E-07,0.36798778,0.032957159,1.19E-28,0.717632611,0.038621731,7.23E-75,0.349644831,0.04464448,5.70E-15
100020837,"2,6-dihydroxybenzoic acid",Xenobiotics,Drug - Topical Agents,0.431591087,0.053060707,6.55E-16,-0.197673933,0.058295771,0.000707806,-0.62926502,0.068636765,9.96E-20,0.451386478,0.033666391,2.23E-40,-0.25185473,0.039452864,1.87E-10,-0.703241207,0.045605221,1.37E-52
100020893,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",0.58753528,0.046200296,6.43E-36,0.427498039,0.0507585,6.22E-17,-0.16003724,0.059762469,0.007458568,0.514790926,0.030285974,3.04E-63,0.304157491,0.035491432,1.32E-17,-0.210633435,0.041026035,2.93E-07
100021363,vanilloylglycine,Xenobiotics,Food Component/Plant,0.345372784,0.053383507,1.18E-10,0.190200716,0.058650419,0.001198956,-0.155172068,0.069054323,0.024722802,0.452484802,0.034154075,1.76E-39,0.216122899,0.040024369,6.94E-08,-0.236361903,0.046265848,3.35E-07
100022120,oxindolylalanine,Amino Acid,Tryptophan Metabolism,-0.322887239,0.053617068,1.98E-09,-0.479121938,0.058907024,6.57E-16,-0.156234699,0.069356447,0.024370962,-0.207632964,0.033931601,1.00E-09,-0.4589415,0.039763658,1.77E-30,-0.251308537,0.045964481,4.76E-08
999911315,X-11315,,,-0.395683888,0.053099268,1.27E-13,-0.653787245,0.058338137,1.85E-28,-0.258103357,0.068686645,0.000175517,-0.322456766,0.034508222,1.30E-20,-0.585112161,0.040439387,1.27E-46,-0.262655395,0.046745584,2.01E-08
999911381,X-11381,,,0.379225426,0.050382601,7.27E-14,1.234932295,0.055353439,1.80E-100,0.855706869,0.065172496,4.24E-38,0.378145602,0.031819662,3.43E-32,1.255430762,0.037288726,8.91E-227,0.877285161,0.043103603,6.01E-89
999911795,X-11795,,,-0.277257822,0.053888151,2.89E-07,-0.571031951,0.059204852,1.25E-21,-0.293774129,0.069707106,2.60E-05,-0.219806375,0.034349104,1.69E-10,-0.543620044,0.04025292,6.20E-41,-0.323813669,0.046530039,3.81E-12
999911847,X-11847,,,-0.474474184,0.048841585,6.50E-22,-1.284890603,0.053660383,5.87E-114,-0.810416419,0.063179112,1.71E-36,-0.40867309,0.032150786,1.60E-36,-1.39630098,0.037676762,1.65E-269,-0.98762789,0.04355215,4.55E-109
999911849,X-11849,,,-0.441102172,0.04896343,4.10E-19,-1.202019871,0.05379425,9.41E-101,-0.760917699,0.063336725,2.42E-32,-0.333646506,0.0317187,1.21E-25,-1.410594655,0.03717041,3.92E-281,-1.076948149,0.042966837,1.33E-131
999911858,X-11858,,,-0.325400365,0.049402017,5.49E-11,-1.284684456,0.054276108,1.21E-111,-0.959284091,0.06390406,8.81E-49,-0.219938556,0.031538494,3.44E-12,-1.379219331,0.036959231,7.44E-273,-1.159280775,0.042722726,1.37E-152
999911880,X-11880,,,0.160268796,0.050789261,0.001621447,0.631407019,0.05580022,5.74E-29,0.471138223,0.065698531,9.82E-13,0.268024957,0.034734112,1.40E-14,0.654850257,0.040704102,5.50E-57,0.3868253,0.04705158,2.47E-16
999912822,X-12822,,,-0.556415667,0.05061945,1.82E-27,-0.272847562,0.055613656,9.90E-07,0.283568105,0.065478873,1.55E-05,-0.705939914,0.033387596,1.38E-95,-0.235837586,0.039126151,1.77E-09,0.470102328,0.045227559,4.42E-25
999912847,X-12847,,,0.620593602,0.052625378,2.97E-31,0.295175393,0.057817492,3.56E-07,-0.325418209,0.068073644,1.85E-06,0.67655536,0.032591652,2.51E-92,0.297845311,0.038193403,7.41E-15,-0.378710049,0.044149357,1.23E-17
999913658,X-13658,,,1.50652686,0.044089857,2.28E-209,0.455051011,0.048439841,1.28E-20,-1.051475849,0.057032507,3.75E-71,1.600902189,0.027683793,0,0.431483984,0.032441996,9.02E-40,-1.169418205,0.037501064,3.17E-197
999913866,X-13866,,,-0.709473121,0.049035019,1.41E-45,-0.381909971,0.053872901,1.76E-12,0.32756315,0.063429329,2.61E-07,-0.743220807,0.033103031,4.87E-107,-0.369445311,0.038792676,2.41E-21,0.373775496,0.044842082,9.59E-17
999916935,X-16935,,,-0.237658902,0.052576506,6.47E-06,0.387749087,0.057763798,2.37E-11,0.625407989,0.068010425,7.76E-20,-0.152317729,0.034012622,7.67E-06,0.447220405,0.039858605,6.52E-29,0.599538134,0.046074233,3.63E-38
999917690,X-17690,,,0.89955676,0.050281167,2.38E-67,0.398980567,0.055241997,6.80E-13,-0.500576193,0.065041287,2.02E-14,0.984220413,0.031760386,5.62E-195,0.395252399,0.037219261,4.24E-26,-0.588968015,0.043023305,5.39E-42
999918901,X-18901,,,0.556332127,0.055054679,1.52E-23,0.23840982,0.060486472,8.32E-05,-0.317922306,0.07121607,8.40E-06,0.676906874,0.034073797,5.76E-85,0.206073489,0.039930293,2.54E-07,-0.470833385,0.046157102,3.18E-24
999919141,X-19141,,,0.8293011,0.050577976,2.16E-57,0.441600497,0.055568089,2.89E-15,-0.387700603,0.065425223,3.55E-09,0.848267676,0.033100698,3.57E-137,0.441678007,0.038789941,1.02E-29,-0.406589668,0.044838921,1.64E-19
999921258,X-21258,,,0.834472641,0.05000391,2.78E-59,0.428911364,0.054937385,8.61E-15,-0.405561278,0.06468264,4.26E-10,0.795550505,0.033677471,8.97E-118,0.425781442,0.039465849,7.08E-27,-0.369769063,0.04562023,6.38E-16
999921661,X-21661,,,-0.476564096,0.047597315,3.75E-23,-1.295798991,0.052293351,4.55E-121,-0.819234895,0.061569584,4.78E-39,-0.37562334,0.031091524,3.37E-33,-1.335982161,0.036435437,1.99E-264,-0.96035882,0.042117251,3.34E-110
999923644,X-23644,,,0.69375882,0.05129106,3.01E-40,0.499171394,0.056351528,1.53E-18,-0.194587426,0.066347635,0.003390063,0.71284742,0.032789191,9.73E-101,0.458775338,0.038424894,1.79E-32,-0.254072081,0.044416948,1.12E-08
999923659,X-23659,,,0.288389448,0.047746877,1.78E-09,-0.205288213,0.052457669,9.35E-05,-0.493677661,0.061763051,2.01E-15,0.274544686,0.032077788,1.45E-17,-0.277405787,0.037591218,1.82E-13,-0.551950473,0.043453266,1.79E-36
999923782,X-23782,,,-0.463379819,0.049731035,2.58E-20,-0.196373722,0.054637588,0.000331961,0.267006097,0.064329662,3.43E-05,-0.495982836,0.032943595,2.92E-50,-0.212407748,0.038605836,3.92E-08,0.283575089,0.044626106,2.25E-10
999924475,X-24475,,,-0.44444866,0.051780146,1.61E-17,-0.700091367,0.056888868,8.29E-34,-0.255642707,0.066980293,0.000138629,-0.397413891,0.033174031,1.12E-32,-0.653101069,0.038875879,7.44E-62,-0.255687178,0.04493826,1.34E-08
999924947,X-24947,,,-0.545870003,0.049735712,2.18E-27,-0.166274513,0.054642726,0.00236783,0.37959549,0.064335712,4.14E-09,-0.658514864,0.030678001,2.38E-98,-0.272250797,0.03595084,4.24E-14,0.386264068,0.041557084,2.06E-20
